name1,name2,soundex_ratio,metaphone_ratio,levenshtein_ratio,jaro_winkler_ratio,cosine_similarity,euclidean_similarity,manhattan_similarity,pearson_similarity
charaN,Himani,0.5,0.33,0.33333333333333337,0.6666666666666666,0.4834469258785248,0.49592883641405117,0.05733638256788254,0.7416115460001151
charaN,Sushil,0.25,0.33,0.0,0.4444444444444444,0.2627304792404175,0.45160879085288225,0.050801683217287064,0.6311955203312181
charaN,Vartika,0.25,0.29,0.1428571428571429,0.6428571428571429,0.3581036925315857,0.4688131888582784,0.05298260226845741,0.6788662544716431
charaN,Aviral,0.25,0.29,0.33333333333333337,0.6666666666666666,0.24599021673202515,0.44883011930482386,0.049937594681978226,0.6228200281781113
charaN,Abdul,0.0,0.0,0.0,0.45555555555555555,0.23952722549438477,0.44777464710543585,0.04943179339170456,0.6196625863087917
charaN,Sumeet,0.5,0.0,0.0,0.0,0.13847169280052185,0.4324039230028348,0.04611063003540039,0.5688604156458439
charaN,Prerna,0.5,0.57,0.16666666666666663,0.5555555555555555,0.29557013511657715,0.4572570089262767,0.05184487625956535,0.647534545252654
charaN,Nupur,0.5,0.33,0.0,0.45555555555555555,0.25698429346084595,0.45064759242534996,0.05010846629738808,0.6283898762820002
charaN,Neha,0.25,0.4,0.16666666666666663,0.611111111111111,0.253172367811203,0.45001424566303916,0.05042411759495735,0.62635630324327
charaN,Vikas,0.25,0.0,0.16666666666666663,0.45555555555555555,0.3914085030555725,0.47545235689782456,0.054727647453546524,0.6955154502688572
charaN,Vanshika,0.25,0.29,0.125,0.5555555555555555,0.38526904582977295,0.47420083335264746,0.05447077751159668,0.6924109424692233
charaN,Rohan,0.5,0.67,0.33333333333333337,0.7000000000000001,0.36262643337249756,0.46969370944405076,0.05367664247751236,0.681163164439397
charaN,Shivansh,0.25,0.57,0.375,0.625,0.2867553234100342,0.4557143045729528,0.05026886239647865,0.6432945211596413
charaN,Sunil,0.5,0.33,0.0,0.0,0.3442627489566803,0.4661578275552216,0.05243798345327377,0.6718745797483052
charaN,Juhi,0.25,0.0,0.0,0.47222222222222215,0.29333001375198364,0.45686303908776926,0.051168300211429596,0.6464423703769455
charaN,Nitesh,0.25,0.33,0.0,0.0,0.23348596692085266,0.4467965549518333,0.04964975267648697,0.6166050849945179
charaN,Ganesh,0.5,0.33,0.0,0.4444444444444444,0.2774888277053833,0.4541138689738252,0.051026009023189545,0.6387147447662329
charaN,Naveen,0.5,0.33,0.16666666666666663,0.5555555555555555,0.38836169242858887,0.4748296541891029,0.055227089673280716,0.6939179173222705
charaN,Shikhar,0.5,0.57,0.2857142857142857,0.5396825396825397,0.3489539623260498,0.46705127492750037,0.052984096109867096,0.6746644308755627
charaN,Jitendra,0.25,0.25,0.125,0.5138888888888888,0.31161150336265564,0.4601167530200652,0.052448295056819916,0.6556126149911847
charaN,Chirag,0.75,0.67,0.6666666666666667,0.6944444444444443,0.39116615056991577,0.4754026971990451,0.054936353117227554,0.6953823216131241
charaN,Abhay,0.25,0.0,0.16666666666666663,0.5888888888888889,0.36916419863700867,0.47097797371866135,0.05345162749290466,0.6843880851800463
charaN,Lucky,0.25,0.0,0.0,0.45555555555555555,0.10827785730361938,0.42818179358825353,0.045828256756067276,0.5540255703188279
charaN,Smriti,0.25,0.29,0.0,0.4444444444444444,0.4139038324356079,0.48015096299121757,0.05704277381300926,0.7068476715049883
charaN,Manu,0.5,0.4,0.16666666666666663,0.47222222222222215,0.310860276222229,0.459981292817848,0.052208513021469116,0.6552125743104966
charaN,Deependra,0.25,0.25,0.11111111111111116,0.4259259259259259,0.35734879970550537,0.46866685230220095,0.05423291027545929,0.6785450300342859
charaN,Anoop,0.5,0.33,0.0,0.45555555555555555,0.18460458517074585,0.4391696943777422,0.04831621050834656,0.5921706290765201
charaN,Devendra,0.25,0.25,0.125,0.5138888888888888,0.36789846420288086,0.4707282459685452,0.05332256108522415,0.6838234154757217
charaN,Diksha,0.25,0.33,0.0,0.4444444444444444,0.29562488198280334,0.45726665500870206,0.05140804126858711,0.6475892016056406
charaN,Muskaan,0.5,0.29,0.2857142857142857,0.6428571428571429,0.498202919960022,0.4995515200498705,0.061122626066207886,0.7490131451812658
charaN,Divyansh,0.25,0.25,0.25,0.5277777777777778,0.3592222034931183,0.46903036063740566,0.05485926941037178,0.6794670671307514
charaN,Kushal,0.25,0.33,0.16666666666666663,0.5555555555555555,0.37367182970046997,0.47187143031763457,0.053572531789541245,0.6868504095263184
charaN,Nitish,0.25,0.33,0.0,0.0,0.2939397692680359,0.4569701555508889,0.051462408155202866,0.6467349086353238
charaN,Preeti,0.5,0.33,0.0,0.4444444444444444,0.289165198802948,0.4561340719472702,0.051808055490255356,0.644340586665848
charaN,Anand,0.25,0.29,0.33333333333333337,0.7000000000000001,0.34608009457588196,0.4665031317620117,0.05394628271460533,0.6727760899021291
charaN,Hemant,0.25,0.29,0.33333333333333337,0.6666666666666666,0.29314184188842773,0.45683002329838523,0.05069306492805481,0.646257590986238
charaN,Amol,0.5,0.0,0.16666666666666663,0.47222222222222215,0.1688312292098999,0.43681156914796676,0.04727721959352493,0.5840766633808556
charaN,Sonal,0.5,0.33,0.16666666666666663,0.45555555555555555,0.33731505274772644,0.46484663694146877,0.05323105677962303,0.6684033035529922
charaN,Rishab,0.25,0.33,0.16666666666666663,0.5555555555555555,0.32403331995010376,0.46237926054114403,0.05276593193411827,0.6617854275222772
charaN,Shashwat,0.25,0.29,0.375,0.625,0.29786327481269836,0.45766162118752074,0.050963323563337326,0.6489388675400107
charaN,Shatakshi,0.25,0.29,0.33333333333333337,0.611111111111111,0.4114089608192444,0.4796208502624516,0.05446304380893707,0.7056538542807971
charaN,Supriya,0.5,0.29,0.1428571428571429,0.5396825396825397,0.4123099446296692,0.47981203347481655,0.056854408234357834,0.7060040974442146
charaN,Anchal,0.25,0.29,0.16666666666666663,0.6944444444444443,0.26370400190353394,0.45177240227211907,0.04972890019416809,0.6318442534139201
charaN,Simran,0.5,0.57,0.5,0.5555555555555555,0.3808111846446991,0.4733001445413006,0.05485951527953148,0.6903777816411463
charaN,Srijan,0.5,0.57,0.33333333333333337,0.5555555555555555,0.34198662638664246,0.465726682777895,0.05368593707680702,0.670940493491667
